"Batch ID","Batch Number","Product Code","Product Name","Current Batch Quantity","Expected Quantity from Effective Inventory Movement Replay","Expected Quantity from Canonical Document Chain","Reserved Quantity","Available Quantity","Delivery Challan Outbound Quantity","Sales Invoice Quantity (Physical Movement; Must Be Zero)","Returns Quantity","Manual Adjustments","Stock Rejections","Final Expected Balance","Current vs Final Variance","Movement vs Source Variance","Reconciliation Status","Manual Review Reasons","Repair Required Reasons","Safe Repair Proposals","Reconciliation Basis","Legacy Evidence","Document Chain Evidence","Stored Reserved Quantity","Expected Available Quantity","Approved Return Document Candidate Quantity","Stock Rejection Movement Quantity","Batch Creation Quantity","Batch Creation Movement Quantity","Ambiguous Adjustment Quantity","Unlinked Sale Movement Quantity","Matched Legacy Sale Movement Quantity"
"cb5539e0-4c14-4086-ba30-92cf194d5db2","4001/1101/25/A-3147","PROD-0011","Ibuprofen BP","0","-853","0","0","0","1000","1700","0","-3","0","0","0","-853","MANUAL REVIEW","ambiguous adjustment 2f2e2e0a-8757-4161-9815-f53f12fe9b3f: positive quantity without reliable before/after evidence","3 effective DC movement rows post -1200 against DC item b35dee29-b367-4fa1-b604-770f69d0b0bc quantity 400; 2 duplicate row(s) have no provable reversal","[object Object]","canonical document chain","SAPJ-004: legacy direct sale is exactly reversed by adjustment 4a3259e0-ad7a-4b8a-a45c-44d962aa535a | SAPJ-26-009: legacy sale matched to DO-26-0009 through SAPJ-26-009 (unique invoice number + batch + quantity) | SAPJ-004: legacy sale matched to DO-25-0009 (unique batch + quantity + date-window DC match) | SAPJ-004: legacy sale matched to DO-25-0009 (unique batch + quantity + date-window DC match) | SAPJ-26-009: legacy sale matched to DO-26-0009 through SAPJ-26-009 (unique invoice number + batch + quantity) | SAPJ-26-017: legacy sale matched to DO-26-0018 through SAPJ-26-017 (direct sales_invoice_item reference_id) | SAPJ-009: legacy sale matched to DO-25-0007 through SAPJ-009 (direct sales_invoice_item reference_id) | SAPJ-005: legacy sale matched to DO-25-0009 through SAPJ-005 (direct sales_invoice_item reference_id) | SAPJ-26-009: legacy sale matched to DO-26-0009 through SAPJ-26-009 (direct sales_invoice_item reference_id) | 2 legacy delivery_challan_reserved row(s) treated as reservation history only | 4071e4c8-8575-4874-8ae3-f8a715ac1f95: legacy system adjustment treated as document lifecycle evidence, not an independent current movement | 6ae8cc8c-cd9e-47e8-9d27-f737911c12f3: legacy system adjustment treated as document lifecycle evidence, not an independent current movement | 4a3259e0-ad7a-4b8a-a45c-44d962aa535a: paired reversal of a legacy direct-invoice movement | 70be6f14-ce0f-43ea-8112-f0730c7c328e: deterministic historical adjustment 400 (stock_before/stock_after) | 99915de5-9a7a-4e03-8595-02bf2f680e79: deterministic historical adjustment -3 (stock_before/stock_after) | 34f5da53-6aa1-4772-98b6-1ac44915d337: legacy system adjustment treated as document lifecycle evidence, not an independent current movement | 6be881cc-cd54-4080-99f0-289ef1ec4550: deterministic historical adjustment -400 (stock_before/stock_after) | 7372f0f6-b2a2-47ad-9627-428566832b7e: deterministic historical adjustment -50 (stock_before/stock_after) | 44d3811e-1093-420b-9418-2c13f8e079e1: deterministic historical adjustment 50 (stock_before/stock_after)","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","0","0","0",,"1000","1000","3","0","1900"
"fbe27e70-5828-4a2d-a1d7-a8b5394328eb","B108/2026","PROD-0008","Corn Starch BP","0","-25","0","0","0","10000","25","0","0","0","0","0","-25","MANUAL REVIEW","b8a7efcb-bb6f-4b35-84de-624ea1c696eb: orphan sale movement — no invoice item or approved DC item supports this sale movement","","","canonical document chain","SAPJ-26-013: legacy sale matched to DO-26-0014 through SAPJ-26-013 (unique invoice number + batch + quantity) | SAPJ-26-012: legacy sale matched to DO-26-0013 through SAPJ-26-012 (direct sales_invoice_item reference_id)","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","0","0","0",,"10000","10000","0","25","3550"
"30293586-9382-4eeb-8c4d-67a84a70325f","B109/2026","PROD-0008","Corn Starch BP","0","-9975","0","0","0","9000","975","0","0","0","0","0","-9975","MANUAL REVIEW","9f9d4d9d-4ad1-4cb1-ac91-3f34e0ca39b3: orphan sale movement — no invoice item or approved DC item supports this sale movement","","","canonical document chain","SAPJ-26-013: legacy sale matched to DO-26-0014 through SAPJ-26-013 (unique invoice number + batch + quantity) | legacy Batch Creation ledger gap: 0 effective row(s), movement quantity 0, batch import_quantity 9000","[object Object] | [object Object] | [object Object] | [object Object]","0","0","0",,"9000","0","0","975","8450"
